likelihood
7.48
7.016
6.824
7.316
5.82
6.56
6.184
5.858333333
3.527272727
5.512
6.104
4.34
6.98
5.952
6.764
6.292
6.52
7.284
6.012
6.426086957
5.172
5.592
6.444
5.808
7.508
6.652
7.836
6.0
6.136
6.172
5.608
6.896
5.856
5.94
7.108333333
6.348
7.784
6.316
5.648
5.945454545
6.684
7.508
6.956
5.832
7.184
6.379166667
5.28
6.528
8.552
5.94
6.964
