likelihood
7.475
6.975
6.8
7.304166667
5.875
6.608333333
6.25
5.930434783
3.547619048
5.5625
6.158333333
4.366666667
7.075
5.9875
6.85
6.25
6.5125
7.408333333
6.0
6.55
5.225
5.670833333
6.454166667
5.745833333
7.558333333
6.575
7.920833333
6.045833333
6.229166667
6.2875
5.6375
6.920833333
5.875
5.970833333
7.108333333
6.379166667
7.733333333
6.291666667
5.683333333
5.945454545
6.666666667
7.370833333
6.970833333
5.825
7.15
6.365217391
5.333333333
6.541666667
8.5625
5.941666667
6.8375
