acceptance_rate,diverging,energy,energy_error,index_in_trajectory,largest_eigval,lp,max_energy_error,n_steps,perf_counter_diff,perf_counter_start,process_time_diff,reached_max_treedepth,smallest_eigval,step_size,step_size_bar,tree_depth
0.9748789590160197,False,118.87458513378698,0.05011962775185452,-28,,0.0,0.07207283838314993,31.0,0.22523029999865685,71982.1817342,0.21875,False,,0.2100756359930539,0.08885568693819404,5
0.964275150411622,False,123.35172304800432,-0.010820654354574799,22,,0.0,0.1245458351412907,63.0,0.4336316999979317,71982.5005106,0.4375,False,,0.2100756359930539,0.08885568693819404,6
0.9902566342743048,False,115.96208262059027,0.04701959006794709,-44,,0.0,-0.12217884789882305,63.0,0.45316879999882076,71983.0298509,0.453125,False,,0.2100756359930539,0.08885568693819404,6
0.9970536928437828,False,117.50236160109387,-0.1169857693504639,53,,0.0,-0.2795849217827282,63.0,0.436052799996105,71983.5716251,0.4375,False,,0.2100756359930539,0.08885568693819404,6
0.9942156570042638,False,109.63777904253678,-0.0024157676753162605,-27,,0.0,-0.036733803576481705,63.0,0.45377300000109244,71984.1013465,0.453125,False,,0.2100756359930539,0.08885568693819404,6
0.9880251821692333,False,110.75790544319432,0.012248032413381793,-27,,0.0,0.0450353984218026,63.0,0.4561239999893587,71984.6536897,0.453125,False,,0.2100756359930539,0.08885568693819404,6
0.9903247203260362,False,112.30611980322664,0.008065317587266918,39,,0.0,0.028139368668107068,63.0,0.4761934999987716,71985.2031314,0.484375,False,,0.2100756359930539,0.08885568693819404,6
0.9981433340201804,False,111.68862877017625,-0.2337438093473594,-24,,0.0,-0.31684302701886224,63.0,0.4790818000037689,71985.7658635,0.484375,False,,0.2100756359930539,0.08885568693819404,6
0.9988649055321941,False,109.90301275528594,0.00023684357503839237,31,,0.0,0.006512923089559308,63.0,0.47650510001403745,71986.3227941,0.46875,False,,0.2100756359930539,0.08885568693819404,6
0.9957614008102181,False,112.07077504911716,-0.036363789104271405,-15,,0.0,-0.05981250827284157,31.0,0.23911900000530295,71986.8975809,0.234375,False,,0.2100756359930539,0.08885568693819404,5
0.9956530375451044,False,114.96093002391959,-0.014532642780949345,21,,0.0,0.018133346134575845,31.0,0.22486919999937527,71987.2386853,0.234375,False,,0.2100756359930539,0.08885568693819404,5
0.9983218949191878,False,109.04226877051025,-0.00019273985233780877,-39,,0.0,0.011728090781218725,63.0,0.4278642999997828,71987.5603372,0.421875,False,,0.2100756359930539,0.08885568693819404,6
0.9955765025792621,False,104.21456913486126,0.0023560006073637396,33,,0.0,0.013713130165228904,63.0,0.4573430000018561,71988.0825899,0.453125,False,,0.2100756359930539,0.08885568693819404,6
0.852566923746308,False,109.40547732648007,-0.05087843222233346,23,,0.0,0.36051132900030325,63.0,0.43697519999113865,71988.6276628,0.4375,False,,0.2100756359930539,0.08885568693819404,6
0.9989733354025453,False,107.50285523069128,-0.013874385357183883,-25,,0.0,-0.028264778448885863,63.0,0.4360638000071049,71989.1865284,0.4375,False,,0.2100756359930539,0.08885568693819404,6
0.9812388661762173,False,110.73096866890003,0.01810412593627575,-10,,0.0,0.03695382605070563,31.0,0.24542390000715386,71989.7099984,0.234375,False,,0.2100756359930539,0.08885568693819404,5
0.9845574253413412,False,112.11078056857737,-0.024132116879755472,-11,,0.0,-0.06168775471537913,31.0,0.22908640000969172,71990.0553749,0.21875,False,,0.2100756359930539,0.08885568693819404,5
0.9948585038652827,False,109.19762944040511,0.012210261384780097,8,,0.0,-0.07440782133451762,31.0,0.2380851000052644,71990.3664269,0.234375,False,,0.2100756359930539,0.08885568693819404,5
0.9972474876031073,False,110.4070897875592,-0.012391651864234632,11,,0.0,-0.09978565519352856,31.0,0.21631699999852572,71990.691497,0.21875,False,,0.2100756359930539,0.08885568693819404,5
0.9912489731792744,False,118.18852904574658,-0.02477562878797812,-45,,0.0,-0.057067618135135945,63.0,0.4483036000019638,71990.9945422,0.453125,False,,0.2100756359930539,0.08885568693819404,6
0.9991611017624483,False,111.75935756365061,0.0018069305668717561,-34,,0.0,-0.04260763041081361,63.0,0.4550775999960024,71991.537788,0.453125,False,,0.2100756359930539,0.08885568693819404,6
0.9971242607608345,False,115.7666846885519,-0.014826751614876343,23,,0.0,-0.029701624042786534,63.0,0.4186986999993678,71992.0901412,0.421875,False,,0.2100756359930539,0.08885568693819404,6
0.9399293897182648,False,109.74675758261958,0.07808709596578467,43,,0.0,0.13458116518195595,63.0,0.45180660000187345,71992.6058722,0.453125,False,,0.2100756359930539,0.08885568693819404,6
0.9981707871339374,False,117.09601999643739,-0.13811993684694812,20,,0.0,-0.16514511419791233,63.0,0.4362505000026431,71993.1516219,0.4375,False,,0.2100756359930539,0.08885568693819404,6
0.9965573532329615,False,113.80193730870408,0.004701836060732489,22,,0.0,0.029833736457007376,63.0,0.4558238000026904,71993.6712168,0.453125,False,,0.2100756359930539,0.08885568693819404,6
0.9966300727162518,False,112.90701981419048,0.0011001382038671181,6,,0.0,-0.030367648365881905,63.0,0.4536203000025125,71994.226444,0.453125,False,,0.2100756359930539,0.08885568693819404,6
0.9907792490866474,False,113.14171823516185,-0.01302511167794762,-32,,0.0,-0.05514134274348237,63.0,0.47789300000295043,71994.791831,0.453125,False,,0.2100756359930539,0.08885568693819404,6
0.987820837472811,False,105.07037340251885,0.009126200816368168,13,,0.0,0.05623469164272876,31.0,0.23824449999665376,71995.3631837,0.25,False,,0.2100756359930539,0.08885568693819404,5
