accept_rate,beta,log_marginal_likelihood
"[0.2651428571428571, 0.16704545454545455, 0.10675, 0.055375, 0.025666666666666667, 0.0185, 0.0175, 0.02075, 0.016, 0.0175, 0.02]","[0.0001220703125, 0.003196528647094965, 0.02485984755779924, 0.051803440335559975, 0.08447354560703244, 0.13077167035920623, 0.20789559313979564, 0.3953752655859865, 0.6098606274247739, 0.962146923502187, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -93.6738980951432]"
"[0.25275, 0.16715, 0.11877272727272727, 0.0575, 0.0215, 0.0224, 0.01875, 0.0185, 0.0225, 0.241375, 0.21635714285714286]","[0.00010967254638671875, 0.0026272346804034896, 0.023626225087282182, 0.050873138320217365, 0.08409418788833746, 0.14361543168501936, 0.21969955263371987, 0.3040204234318298, 0.5176741005580934, 0.869708406876969, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -88.34553985314545]"
"[0.2695, 0.15777272727272726, 0.11715, 0.05592307692307692, 0.030375, 0.017125, 0.013, 0.016, 0.0444375, 0.355375, 0.3631]","[0.000110626220703125, 0.002818911467329599, 0.022017887385536117, 0.047068625200935355, 0.07719578614944997, 0.11686301175256801, 0.17346976020910243, 0.25579962972116166, 0.4171892635921773, 0.8322133678162988, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -84.77036578104516]"
"[0.273, 0.17605555555555555, 0.11858333333333333, 0.064875, 0.02875, 0.014, 0.0285, 0.03273076923076923, 0.03157142857142857, 0.033, 0.308375, 0.4117]","[0.00010776519775390625, 0.0029838919544999953, 0.025396082925378066, 0.054833156090995525, 0.0908954381245258, 0.14100011107413848, 0.209589309856834, 0.28406226428387055, 0.3609883059637714, 0.454923363379544, 0.9566206111103074, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -90.05695150488583]"
