number,value,params_alpha_sigma,params_beta_sigma,params_prob_of_success,params_sigma,state,datetime_start,datetime_complete,duration,user_attrs_mean_log_likelihood
34,-3.309018780858204,5.0,0.2,0.4,1.5,COMPLETE,2025-01-27 21:31:25.639150,2025-01-27 21:32:12.519426,0 days 00:00:46.880276,-3.309018780858204
35,-3.312721495452322,3.75,0.30000000000000004,0.5,1.5,COMPLETE,2025-01-27 21:32:13.007450,2025-01-27 21:32:56.246446,0 days 00:00:43.238996,-3.312721495452322
36,-3.3015193438237667,3.75,0.2,0.30000000000000004,1.75,COMPLETE,2025-01-27 21:32:56.723518,2025-01-27 21:33:40.185590,0 days 00:00:43.462072,-3.3015193438237667
37,-3.309561942848641,4.75,0.1,0.5,1.0,COMPLETE,2025-01-27 21:33:40.700844,2025-01-27 21:34:31.262070,0 days 00:00:50.561226,-3.309561942848641
38,-3.306445397397027,3.75,0.30000000000000004,0.4,1.5,COMPLETE,2025-01-27 21:34:31.757278,2025-01-27 21:35:14.530973,0 days 00:00:42.773695,-3.306445397397027
39,-3.2934112567792804,3.5,0.5,0.2,1.75,COMPLETE,2025-01-27 21:35:15.028401,2025-01-27 21:35:53.285238,0 days 00:00:38.256837,-3.2934112567792804
40,-3.2907915025670573,4.25,0.2,0.1,2.0,COMPLETE,2025-01-27 21:35:54.793733,2025-01-27 21:36:32.745502,0 days 00:00:37.951769,-3.2907915025670573
41,-3.3110218601943737,3.0,0.4,0.5,1.5,COMPLETE,2025-01-27 21:36:33.351622,2025-01-27 21:37:16.713566,0 days 00:00:43.361944,-3.3110218601943737
42,-3.3105968655231086,4.0,0.30000000000000004,0.5,1.25,COMPLETE,2025-01-27 21:37:17.196204,2025-01-27 21:37:59.276635,0 days 00:00:42.080431,-3.3105968655231086
43,-3.305733731363544,3.25,0.4,0.5,4.75,COMPLETE,2025-01-27 21:37:59.761968,2025-01-27 21:38:50.276146,0 days 00:00:50.514178,-3.305733731363544
44,-3.31409829665247,4.75,0.30000000000000004,0.5,1.5,COMPLETE,2025-01-27 21:38:50.927378,2025-01-27 21:39:33.632703,0 days 00:00:42.705325,-3.31409829665247
45,-3.312968969166941,4.5,0.1,0.5,1.25,COMPLETE,2025-01-27 21:39:34.095311,2025-01-27 21:40:26.964051,0 days 00:00:52.868740,-3.312968969166941
46,-3.3012068560251477,4.75,0.1,0.30000000000000004,1.0,COMPLETE,2025-01-27 21:40:27.491450,2025-01-27 21:41:19.591486,0 days 00:00:52.100036,-3.3012068560251477
47,-3.3070679180487796,4.75,0.2,0.4,1.25,COMPLETE,2025-01-27 21:41:21.076353,2025-01-27 21:42:08.509154,0 days 00:00:47.432801,-3.3070679180487796
48,-3.31938823614359,5.0,0.1,0.5,2.0,COMPLETE,2025-01-27 21:42:09.000425,2025-01-27 21:43:07.168341,0 days 00:00:58.167916,-3.31938823614359
49,-3.3192133309927434,5.0,0.1,0.5,2.75,COMPLETE,2025-01-27 21:43:07.677203,2025-01-27 21:44:07.695383,0 days 00:01:00.018180,-3.3192133309927434
50,-3.3099813146452592,5.0,0.2,0.4,2.0,COMPLETE,2025-01-27 21:44:08.199595,2025-01-27 21:44:54.933203,0 days 00:00:46.733608,-3.3099813146452592
51,-3.3187737768388867,4.5,0.1,0.5,2.75,COMPLETE,2025-01-27 21:44:55.412310,2025-01-27 21:45:55.835154,0 days 00:01:00.422844,-3.3187737768388867
52,-3.3188644746417952,4.75,0.1,0.5,2.75,COMPLETE,2025-01-27 21:45:56.378248,2025-01-27 21:46:55.357163,0 days 00:00:58.978915,-3.3188644746417952
