number,value,params_alpha_sigma,params_beta_sigma,params_prob_of_success,params_sigma,state,datetime_start,datetime_complete,duration,user_attrs_mean_log_likelihood,system_attrs_auto:sampler
32,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:00:37.434608,2025-01-27 17:01:28.955273,0 days 00:00:51.520665,-3.319827168001364,GPSampler
33,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:01:29.406296,2025-01-27 17:02:20.375352,0 days 00:00:50.969056,-3.319827168001364,GPSampler
34,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:02:20.826185,2025-01-27 17:03:11.968642,0 days 00:00:51.142457,-3.319827168001364,GPSampler
35,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:03:12.424250,2025-01-27 17:04:03.675041,0 days 00:00:51.250791,-3.319827168001364,GPSampler
36,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:04:05.099639,2025-01-27 17:04:55.731127,0 days 00:00:50.631488,-3.319827168001364,GPSampler
37,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:04:56.177898,2025-01-27 17:05:47.602430,0 days 00:00:51.424532,-3.319827168001364,GPSampler
38,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:05:48.048630,2025-01-27 17:06:39.466371,0 days 00:00:51.417741,-3.319827168001364,GPSampler
39,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:06:39.937401,2025-01-27 17:07:32.213832,0 days 00:00:52.276431,-3.319827168001364,GPSampler
40,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:07:32.689079,2025-01-27 17:08:23.168698,0 days 00:00:50.479619,-3.319827168001364,GPSampler
41,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:08:23.642588,2025-01-27 17:09:14.089873,0 days 00:00:50.447285,-3.319827168001364,GPSampler
42,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:09:14.571989,2025-01-27 17:10:06.162640,0 days 00:00:51.590651,-3.319827168001364,GPSampler
43,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:10:06.591480,2025-01-27 17:10:57.872216,0 days 00:00:51.280736,-3.319827168001364,GPSampler
44,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:10:59.255212,2025-01-27 17:11:50.362255,0 days 00:00:51.107043,-3.319827168001364,GPSampler
45,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:11:50.835989,2025-01-27 17:12:43.047094,0 days 00:00:52.211105,-3.319827168001364,GPSampler
46,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:12:43.529734,2025-01-27 17:13:35.692156,0 days 00:00:52.162422,-3.319827168001364,GPSampler
47,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:13:36.125263,2025-01-27 17:14:25.978509,0 days 00:00:49.853246,-3.319827168001364,GPSampler
48,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:14:26.443898,2025-01-27 17:15:16.890149,0 days 00:00:50.446251,-3.319827168001364,GPSampler
49,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:15:17.370394,2025-01-27 17:16:08.820861,0 days 00:00:51.450467,-3.319827168001364,GPSampler
50,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:16:09.334276,2025-01-27 17:16:59.738299,0 days 00:00:50.404023,-3.319827168001364,GPSampler
51,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:17:00.182794,2025-01-27 17:17:50.978263,0 days 00:00:50.795469,-3.319827168001364,GPSampler
52,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:17:52.488467,2025-01-27 17:18:43.447757,0 days 00:00:50.959290,-3.319827168001364,GPSampler
53,-3.3161356245069973,5.0,0.1,0.5,3.75,COMPLETE,2025-01-27 17:18:43.915142,2025-01-27 17:19:37.847406,0 days 00:00:53.932264,-3.3161356245069973,GPSampler
54,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:19:38.318721,2025-01-27 17:20:29.333100,0 days 00:00:51.014379,-3.319827168001364,GPSampler
55,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:20:29.806398,2025-01-27 17:21:21.340861,0 days 00:00:51.534463,-3.319827168001364,GPSampler
56,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:21:21.823144,2025-01-27 17:22:12.603629,0 days 00:00:50.780485,-3.319827168001364,GPSampler
57,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 17:22:13.054083,2025-01-27 17:23:04.690296,0 days 00:00:51.636213,-3.319827168001364,GPSampler
