acceptance_rate,diverging,energy,energy_error,index_in_trajectory,largest_eigval,lp,max_energy_error,n_steps,perf_counter_diff,perf_counter_start,process_time_diff,reached_max_treedepth,smallest_eigval,step_size,step_size_bar,tree_depth
0.9349481345480956,False,97.21304868047639,-0.006300949459941307,-12,,0.0,0.16377943205732493,31.0,0.24564089998602867,148669.558244,0.25,False,,0.1100128986382368,0.10349603775690928,5
0.9497529095984826,False,97.98776048416981,0.010080243181704418,-9,,0.0,0.1377049052923951,31.0,0.24603579999529757,148669.861442,0.25,False,,0.1100128986382368,0.10349603775690928,5
0.9757243020578111,False,101.66726590155699,0.049506910393532166,-21,,0.0,0.053824145247219235,31.0,0.21631560000241734,148670.1854364,0.21875,False,,0.1100128986382368,0.10349603775690928,5
0.9969356881578545,False,108.91454863429,0.00036630815108651404,-8,,0.0,-0.047838171540107055,31.0,0.20359709998592734,148670.4697107,0.203125,False,,0.1100128986382368,0.10349603775690928,5
0.9986351653704006,False,100.10265550639011,-0.060640101053877515,10,,0.0,-0.06695685855466138,31.0,0.2228023000061512,148670.7423585,0.21875,False,,0.1100128986382368,0.10349603775690928,5
0.9970307756278964,False,96.6967517303817,0.008445245621047093,-23,,0.0,0.012239031628439534,31.0,0.22620149998692796,148671.0318739,0.234375,False,,0.1100128986382368,0.10349603775690928,5
0.9726552227759803,False,99.79507818667793,-0.015449041460016133,-11,,0.0,0.06952394079083035,31.0,0.26086719997692853,148671.302384,0.265625,False,,0.1100128986382368,0.10349603775690928,5
0.9525306628997072,False,98.90677716599954,0.08628904765109269,23,,0.0,0.09491092039712612,31.0,0.2259601000114344,148671.6087394,0.234375,False,,0.1100128986382368,0.10349603775690928,5
0.9940271951562166,False,97.62835800692793,0.0027509292397809304,21,,0.0,-0.45699662960257115,31.0,0.22899589998996817,148671.9210456,0.234375,False,,0.1100128986382368,0.10349603775690928,5
0.8431915233865646,False,98.17097461446039,0.28154667567375213,9,,0.0,0.343044544034214,31.0,0.20624430000316352,148672.2129709,0.1875,False,,0.1100128986382368,0.10349603775690928,5
0.805005007086807,False,105.33110655712971,0.4740368569369764,-9,,0.0,0.7560461365604425,63.0,0.44593519999762066,148672.4717357,0.4375,False,,0.1100128986382368,0.10349603775690928,6
0.889855990473785,False,103.73048643307013,-0.6655517869133121,13,,0.0,-0.9031562514342539,31.0,0.21817609999561682,148672.9749657,0.21875,False,,0.1100128986382368,0.10349603775690928,5
0.943398865920799,False,103.41060236360315,-0.011349816789035572,-9,,0.0,0.17141269626857536,31.0,0.2651207000017166,148673.2435218,0.21875,False,,0.1100128986382368,0.10349603775690928,5
0.9996962088833257,False,99.28969590413412,-0.026739235764765112,-15,,0.0,-0.10640967989830585,31.0,0.22074140000040643,148673.5716798,0.21875,False,,0.1100128986382368,0.10349603775690928,5
0.9993399223861025,False,99.91593073072465,-0.05681284552721877,-22,,0.0,-0.06330795186663352,31.0,0.23844950000056997,148673.8592843,0.234375,False,,0.1100128986382368,0.10349603775690928,5
0.9871723223097183,False,100.65534271211304,-0.0275170547030541,18,,0.0,0.04601560440930541,31.0,0.20317210000939667,148674.1583743,0.203125,False,,0.1100128986382368,0.10349603775690928,5
0.9946635103133946,False,97.72591483796437,0.004685192857550646,-15,,0.0,0.012741625844924442,31.0,0.22387969997362234,148674.4219301,0.21875,False,,0.1100128986382368,0.10349603775690928,5
0.992685223309777,False,93.45266716801034,0.002250517769283533,-28,,0.0,0.02824789061084232,31.0,0.21170660000643693,148674.714325,0.203125,False,,0.1100128986382368,0.10349603775690928,5
0.9952398294401945,False,97.78951417006519,0.001048904187541666,-16,,0.0,-0.019899259792282464,31.0,0.226505200000247,148674.997866,0.21875,False,,0.1100128986382368,0.10349603775690928,5
0.9673034897710611,False,96.18485196675537,0.08223282903669826,-13,,0.0,0.08223282903669826,31.0,0.23879619999206625,148675.2704364,0.25,False,,0.1100128986382368,0.10349603775690928,5
0.9831628132013381,False,100.89234054881004,0.02343305944893359,-7,,0.0,-0.13933890842339736,31.0,0.24776950001250952,148675.5735874,0.25,False,,0.1100128986382368,0.10349603775690928,5
0.9975762694093651,False,104.40310217062638,0.001815689803450482,-23,,0.0,-0.12084291216001475,31.0,0.24314760000561364,148675.883084,0.234375,False,,0.1100128986382368,0.10349603775690928,5
0.98778611388296,False,103.37094778336007,-0.038847827861118844,-21,,0.0,-0.11246408584095491,31.0,0.2328935999830719,148676.1786758,0.21875,False,,0.1100128986382368,0.10349603775690928,5
0.9946137181053163,False,93.17925388280835,0.04393445801720475,-26,,0.0,-0.0886734704601082,31.0,0.25562659997376613,148676.4703111,0.265625,False,,0.1100128986382368,0.10349603775690928,5
0.9785627613830827,False,93.24108769164006,-0.005498107441809452,29,,0.0,-0.13988463464204415,31.0,0.21793099999194965,148676.7979385,0.21875,False,,0.1100128986382368,0.10349603775690928,5
0.9997607349608159,False,97.00055555443409,-0.002015478309289165,8,,0.0,-0.08903734948340514,31.0,0.2286034999997355,148677.0695241,0.21875,False,,0.1100128986382368,0.10349603775690928,5
0.9951033095003143,False,98.23971356387045,0.03350212164305333,14,,0.0,-0.09211142757330038,31.0,0.22813259999384172,148677.3536255,0.203125,False,,0.1100128986382368,0.10349603775690928,5
0.9896246279344192,False,98.31986699187013,0.08550843960672694,11,,0.0,-0.16723125984152887,31.0,0.23165750000043772,148677.6348786,0.234375,False,,0.1100128986382368,0.10349603775690928,5
