likelihood
7.462
7.016
6.762
7.292
5.742
6.6
6.235
5.858
3.527
5.527
6.031
4.34
6.896
5.823
6.735
6.231
6.435
7.231
5.977
6.438
5.169
5.527
6.485
5.765
7.619
6.638
7.762
6.008
6.131
6.212
5.508
6.888
5.812
5.95
7.116
6.288
7.773
6.308
5.658
5.952
6.604
7.508
6.908
5.831
7.185
6.264
5.262
6.515
8.354
5.892
6.964
