accept_rate,beta,log_marginal_likelihood
"[0.12213461538461538, 0.09328571428571429, 0.0785, 0.06628846153846153, 0.07575, 0.07154411764705883, 0.057958333333333334, 0.039089285714285715]","[0.026092529296875, 0.08706933096982539, 0.1437835687921769, 0.20153541973261804, 0.288527801315986, 0.4495528497944654, 0.6931350619910626, 1]","[nan, nan, nan, nan, nan, nan, nan, -136.72839485719817]"
"[0.12060714285714286, 0.09034375, 0.06925, 0.05851666666666667, 0.06360714285714286, 0.06005263157894737, 0.05011538461538462, 0.0385625]","[0.026214599609375, 0.08726292429491878, 0.145547469280622, 0.20556476996506723, 0.29586700673043603, 0.452925162238068, 0.6918228270047727, 1]","[nan, nan, nan, nan, nan, nan, nan, -136.823497333254]"
"[0.12454166666666666, 0.09280357142857143, 0.0725, 0.05940277777777778, 0.06365277777777778, 0.059816666666666664, 0.04967105263157895, 0.03571666666666667]","[0.02655029296875, 0.08633856801316142, 0.14406727667768138, 0.20308466857532104, 0.29115370001660623, 0.44457856007981256, 0.6857144522549392, 1]","[nan, nan, nan, nan, nan, nan, nan, -136.65512397387056]"
"[0.12255769230769231, 0.09818333333333333, 0.07583928571428572, 0.059941176470588234, 0.061983333333333335, 0.0586578947368421, 0.0525, 0.0418125, 0.039732142857142855]","[0.02508544921875, 0.08160327514633536, 0.13667931637271735, 0.1952208399260098, 0.2803706379446373, 0.42983061179515214, 0.6607942486099522, 0.9715645285650891, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, -136.4347989603504]"
