accept_rate,beta,log_marginal_likelihood
"[0.23946875, 0.1526, 0.10480357142857143, 0.05346666666666667, 0.021055555555555557, 0.015333333333333332, 0.015, 0.02388888888888889, 0.0259375, 0.02334090909090909]","[0.00012493133544921875, 0.003451139564276673, 0.02625413062317772, 0.05691320800088776, 0.09513096427052363, 0.1502400904262714, 0.23892334292689177, 0.41251579905317776, 0.6632731911460961, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, -99.69709125863307]"
"[0.24319444444444444, 0.15134090909090908, 0.10091666666666667, 0.05098076923076923, 0.02425, 0.02105, 0.03179545454545454, 0.025961538461538463, 0.019083333333333334, 0.015, 0.0226, 0.030125]","[0.00013256072998046875, 0.0036342207131383475, 0.02727282918369811, 0.05729147803465876, 0.09446427598608298, 0.1505522034095273, 0.246162694358754, 0.4040551519894203, 0.5830924219261541, 0.7379369665148516, 0.9087899821563347, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -98.15738191977081]"
"[0.24440625, 0.1559090909090909, 0.09985714285714285, 0.04436538461538461, 0.01425, 0.02075, 0.05325, 0.04835416666666666, 0.03267857142857143, 0.017892857142857144, 0.01175, 0.050295454545454546]","[0.00012493133544921875, 0.0035274287438369356, 0.026702729472949577, 0.05723439805684895, 0.09700216012665391, 0.16207506904932498, 0.26752242226548917, 0.3849489573041961, 0.5022530796679661, 0.6035411404423736, 0.7185631882312541, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -93.80995635535187]"
"[0.25075, 0.15266666666666667, 0.10419642857142856, 0.04711666666666667, 0.017625, 0.01825, 0.033, 0.049727272727272724, 0.04903333333333333, 0.035958333333333335, 0.01825, 0.01325, 0.0720909090909091, 0.07653333333333333]","[0.00011920928955078125, 0.003166970733218477, 0.026552123167945266, 0.05707106578222272, 0.09608617926840735, 0.1536079896481765, 0.23894614576627454, 0.33579120940547047, 0.42733589766983315, 0.5245715382741093, 0.6202978843931659, 0.7395397176267644, 0.9374098254309615, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -91.65258968188884]"
