accept_rate,beta,log_marginal_likelihood
"[0.24957142857142858, 0.15790909090909092, 0.1211923076923077, 0.0658076923076923, 0.03423076923076923, 0.02, 0.019333333333333334, 0.02225, 0.01675, 0.018625, 0.014333333333333333]","[0.000102996826171875, 0.002544277347624302, 0.022599298488756858, 0.0491814826017849, 0.08034766588602457, 0.12267398459321902, 0.20322575393104658, 0.3658610204667069, 0.5822966641182722, 0.8147155581721247, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -97.24991397835284]"
"[0.255, 0.16522222222222221, 0.11572727272727273, 0.0616875, 0.031083333333333334, 0.024125, 0.03, 0.0315, 0.04325, 0.06077272727272727, 0.3111, 0.3015833333333333]","[0.00010776519775390625, 0.002961005004181061, 0.024093612167108314, 0.05216320517053273, 0.08396535010564521, 0.12147561096707186, 0.17123632781523412, 0.2645497085492712, 0.4319088064797003, 0.6059072067372628, 0.8264570431714069, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -91.53641939649845]"
"[0.2474375, 0.15375, 0.1145, 0.05582142857142857, 0.027785714285714285, 0.02125, 0.0165, 0.019071428571428573, 0.021, 0.02575, 0.0377, 0.07642857142857143, 0.06622727272727273]","[9.72747802734375e-05, 0.002935271506430581, 0.025881281951920965, 0.05618467902156769, 0.09254816753962736, 0.14630585086717723, 0.22329796930497547, 0.33542625908394613, 0.474818054282727, 0.6111944916896975, 0.7407168804041837, 0.9159589160901248, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -95.39187250598002]"
"[0.2400625, 0.15341666666666667, 0.11, 0.05726923076923077, 0.029777777777777778, 0.026722222222222224, 0.027, 0.02775, 0.03125, 0.030333333333333334, 0.0861875, 0.3092, 0.3643]","[0.00010013580322265625, 0.0031212247704388574, 0.02588227892535344, 0.056411580535295366, 0.09167352253272476, 0.14129187454694958, 0.2034605789383236, 0.26826494892412994, 0.3395573861769788, 0.4329978213542752, 0.6671299828120838, 0.9795213930905018, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -90.42407832802527]"
