accept_rate,beta,log_marginal_likelihood
"[0.2380625, 0.1565, 0.10355769230769231, 0.04763333333333333, 0.02225, 0.01925, 0.0232, 0.021375, 0.6405]","[0.000125885009765625, 0.0033224001090275124, 0.0256317746897185, 0.050501174256271805, 0.08087285243443872, 0.11861935654228799, 0.16677633941277611, 0.25254086186395447, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, -81.6947900296697]"
"[0.2336111111111111, 0.15179545454545454, 0.10041071428571428, 0.04063888888888889, 0.01875, 0.0164375, 0.02035714285714286, 0.02159375, 0.01825, 0.01725, 0.014875]","[0.00013446807861328125, 0.00404045544564724, 0.028907718753274025, 0.06050306240332416, 0.10183160661343399, 0.16300304897843076, 0.25233577119073763, 0.42887289879567714, 0.7161712871750809, 0.9532846712698202, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -97.04637596745194]"
"[0.2435625, 0.15357692307692308, 0.09756666666666666, 0.04525, 0.021035714285714286, 0.017125, 0.015916666666666666, 0.009125, 0.01475, 0.020375, 0.04975]","[0.00011730194091796875, 0.003046817611902952, 0.025610657815125393, 0.05571485322189779, 0.09162728562813087, 0.14303768643415404, 0.22503916555188408, 0.45546773579548405, 0.6787951853743719, 0.8365672324822235, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -95.18235097710408]"
"[0.24009375, 0.15357692307692308, 0.10765384615384616, 0.04719444444444444, 0.023178571428571427, 0.01725, 0.014375, 0.014375, 0.02988888888888889, 0.05813461538461538, 0.13680555555555557, 0.20609375]","[0.00012683868408203125, 0.0035445906687527895, 0.027016711226762524, 0.05683604636363221, 0.09085979875617574, 0.13910101233741007, 0.2115652185220251, 0.32285118408091157, 0.47962324289317254, 0.6557508725921934, 0.9015620533608573, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -87.8635886374505]"
