accept_rate,beta,log_marginal_likelihood
0.21025,0.032379150390625,
0.15166666666666667,0.23293620720505714,
0.11080357142857143,0.9154300842074008,
0.1068125,1,-170.56180984387768
0.2124,0.03338623046875,
0.15629166666666666,0.22771897539496422,
0.12021666666666667,0.9018434471563523,
0.1114375,1,-170.58138941159547
0.216825,0.0350341796875,
0.15123214285714287,0.23711959272623062,
0.12059615384615385,0.9016428712493507,
0.10692307692307693,1,-170.59734841941386
0.21925,0.03057861328125,
0.1588269230769231,0.23167980834841728,
0.118609375,0.9146589448700979,
0.10961666666666667,1,-170.56880875208643
