accept_rate,beta,log_marginal_likelihood
"[0.123375, 0.1025, 0.085125, 0.07366666666666667, 0.08366666666666667, 0.08042307692307692, 0.07142307692307692, 0.057]","[0.02587890625, 0.08534111082553864, 0.14254481726175072, 0.1995132760829159, 0.28314184034688694, 0.43864828010062346, 0.6854684067204591, 1]","[nan, nan, nan, nan, nan, nan, nan, -137.12044560368935]"
"[0.12786363636363637, 0.10164285714285715, 0.08945, 0.0765, 0.09054166666666667, 0.0895909090909091, 0.07755, 0.0585, 0.06067857142857143]","[0.02783203125, 0.09283268451690674, 0.15446873758992297, 0.21568982164264983, 0.30749728504323853, 0.45976468017545685, 0.6898974965164287, 0.9998314139665218, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, -137.7799016185311]"
"[0.1292, 0.11109090909090909, 0.09177272727272727, 0.07803571428571429, 0.0801, 0.08576923076923076, 0.07325, 0.05595454545454545, 0.05647058823529412]","[0.0242919921875, 0.08289758861064911, 0.1397062568680667, 0.19767012136201517, 0.27984421922227976, 0.43312958542927876, 0.6632254238971227, 0.9582557502635779, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, -137.38056937605546]"
"[0.1185, 0.09858333333333333, 0.08261538461538462, 0.07470833333333333, 0.07835714285714286, 0.08196153846153846, 0.07, 0.05592307692307692, 0.0548125]","[0.02532958984375, 0.089810099452734, 0.15046539094197442, 0.21102907000445187, 0.2937951811456033, 0.43729800343450465, 0.6572437312225925, 0.9580198241433129, 1]","[nan, nan, nan, nan, nan, nan, nan, nan, -137.56015077406676]"
